#ID	#Layer	#Row	#ASIC addr.	#Mask (hex)
413	4	1	3	0x00000000
414	4	1	4	0x00000000
415	4	1	5	0x00000000
420	4	2	0	0xFFFFFFFF
421	4	2	1	0xFFFFFFFF
422	4	2	2	0xFFFFFFFF
423	4	2	3	0xFBFFFFFF
424	4	2	4	0xFEFFFEFF
425	4	2	5	0xFF9FFDFF
430	4	3	0	0xFFFFFFFF
431	4	3	1	0xDFFFFFFF
432	4	3	2	0xFFFFFFFF
433	4	3	3	0xEFFFFFFF
434	4	3	4	0xFFFF7FFF
435	4	3	5	0xFF7FEFFF
440	4	4	0	0xFFFFFFFF
441	4	4	1	0xFFFFDFFF
442	4	4	2	0xFFFFFF7F
443	4	4	3	0xEFFFFFFF
444	4	4	4	0xFB27FEBF
445	4	4	5	0xFFFFFFFF
450	4	5	0	0xFFFFFFFF
451	4	5	1	0xFFFFFFFF
452	4	5	2	0xFFFFFFFF
453	4	5	3	0xFFBFFFFF
454	4	5	4	0xFF7FFFFF
455	4	5	5	0xFFFFDFFF
500	5	0	0	0xFFFFEF7F
501	5	0	1	0xFFFFFFFF
502	5	0	2	0xFDFFFFFE
503	5	0	3	0xEB3FFFFB
504	5	0	4	0xFFFFFFFF
505	5	0	5	0x00000000
510	5	1	0	0xDFFFFFFF
511	5	1	1	0xFFFFFFFF
512	5	1	2	0xFFFFF7FF
513	5	1	3	0xFE79FFFF
514	5	1	4	0xDFDFFFFF
515	5	1	5	0xDFFFFFFD
520	5	2	0	0xFFFFFFFF
521	5	2	1	0xFFFFFFFF
522	5	2	2	0xFFFF1FFF
523	5	2	3	0xFFFFFFEF
524	5	2	4	0xF8DCEFEF
525	5	2	5	0xFFFFFFFF
530	5	3	0	0xFFFFEFFF
531	5	3	1	0xDFF3FF7E
532	5	3	2	0xFBFFFFFF
533	5	3	3	0xD537DDBF
534	5	3	4	0xFFFFFFFB
535	5	3	5	0xCFF7FFFF
540	5	4	0	0xFFFFFFFF
541	5	4	1	0xFFFFFFFF
542	5	4	2	0xFFFFFFFF
543	5	4	3	0xDFFFFFFF
544	5	4	4	0xFFFFFFFF
545	5	4	5	0xFFFFFFD0
550	5	5	0	0xFFFFFF00
551	5	5	1	0xFFFFFFFF
552	5	5	2	0xFFFFFFFF
553	5	5	3	0xFFFBFFDF
554	5	5	4	0x00000000
555	5	5	5	0xED00FFFF
600	6	0	0	0xFFF100EF
601	6	0	1	0xDFFF0000
602	6	0	2	0x9FFFFFFF
603	6	0	3	0xFFFFFFFC
604	6	0	4	0xFFFF0000
605	6	0	5	0xFFFC7F00
610	6	1	0	0x7FFF7F00
611	6	1	1	0xFFFF00FE
612	6	1	2	0xFBCF00FF
613	6	1	3	0x00FF7F3C
614	6	1	4	0x7FEF00FF
615	6	1	5	0x57FFE653
620	6	2	0	0x00000000
621	6	2	1	0xFFFBFFFF
622	6	2	2	0x00FFF6FE
623	6	2	3	0xFC007F00
624	6	2	4	0x00FEFFFF
625	6	2	5	0xFFFEEF00
630	6	3	0	0x00FF00FF
631	6	3	1	0xFECF00FB
632	6	3	2	0x00000000
633	6	3	3	0xD71F7E9F
634	6	3	4	0x00000000
635	6	3	5	0x00000000
640	6	4	0	0xFFFFEFEB
641	6	4	1	0xFC7F00F7
642	6	4	2	0xFF7FFF7F
643	6	4	3	0xEFDDFFFB
644	6	4	4	0xFC00FF1F
645	6	4	5	0xFFFFFFFF
650	6	5	0	0xEFFFFF00
651	6	5	1	0xFEDF0000
652	6	5	2	0xFFFFFFFF
653	6	5	3	0xFFFFFFFF
654	6	5	4	0xFEFFFFCF
655	6	5	5	0xFFFFFFFF
