#p0a p1a p2a is pol2 fit between 0-190 ADC ch 
#p0b p1b p2b p3b is pol3 fit between 190-500 ADC ch 
#p0c p1c p2c p3c is pol3 fit between 500-900 ADC ch 
#p0d p1d p2d p3d is pol3 fit between 900-1600 ADC ch 
#Layer Row Module Channel p0a p1a p2a p0b p1b p2b p3b p0c p1c p2c p3c p0d p1d p2d p3d   
0,0,0,0,1.84,1.014,0.0014,-387.79,5.56,-0.0166,0.0000251,170.48,11.94,-0.0468,0.0000556,49066.01,-173.42,0.186,-0.0000414
0,0,0,1,2.36,1.053,0.0015,-511.67,6.91,-0.0213,0.0000319,4750.35,-10.85,-0.0107,0.0000397,44990.12,-165.11,0.184,-0.0000420
0,0,0,2,2.06,1.056,0.0014,-446.22,6.22,-0.0189,0.0000284,3818.51,-5.53,-0.0199,0.0000435,49690.02,-175.72,0.190,-0.0000430
0,0,0,3,1.60,1.042,0.0010,-291.63,4.56,-0.0133,0.0000205,-3827.34,32.20,-0.0800,0.0000718,58389.68,-197.51,0.204,-0.0000457
0,0,0,4,0.92,1.033,0.0009,-275.87,4.29,-0.0121,0.0000180,-8925.71,54.89,-0.1115,0.0000837,63058.01,-204.35,0.203,-0.0000445
0,0,0,5,1.41,1.045,0.0010,-343.11,5.05,-0.0147,0.0000216,-5013.62,37.39,-0.0869,0.0000741,52076.10,-179.81,0.187,-0.0000410
0,0,0,6,1.22,1.035,0.0010,-300.57,4.56,-0.0130,0.0000195,-9061.45,55.58,-0.1133,0.0000861,56340.04,-190.37,0.195,-0.0000431
0,0,0,7,2.76,1.015,0.0014,-405.41,5.74,-0.0172,0.0000256,3064.66,-1.44,-0.0266,0.0000457,57253.92,-194.64,0.204,-0.0000464
0,0,0,8,2.81,1.051,0.0015,-441.71,6.22,-0.0190,0.0000289,4240.40,-7.05,-0.0189,0.0000444,10590.40,-69.94,0.096,-0.0000151
0,0,0,9,1.33,1.037,0.0013,-375.41,5.44,-0.0162,0.0000245,-835.55,17.90,-0.0582,0.0000625,61294.43,-207.09,0.216,-0.0000503
0,0,0,10,0.79,1.043,0.0010,-318.66,4.78,-0.0139,0.0000207,-1391.80,20.47,-0.0611,0.0000613,57495.02,-194.35,0.200,-0.0000444
0,0,0,11,2.24,1.035,0.0012,-389.41,5.62,-0.0170,0.0000253,-632.03,16.42,-0.0548,0.0000600,42820.10,-157.60,0.172,-0.0000376
0,0,0,12,2.18,1.022,0.0013,-381.44,5.46,-0.0161,0.0000237,-3909.61,32.22,-0.0797,0.0000724,50391.87,-175.90,0.187,-0.0000413
0,0,0,13,1.04,1.041,0.0009,-324.72,4.77,-0.0135,0.0000194,-13957.50,79.28,-0.1509,0.0001052,59886.71,-199.22,0.202,-0.0000445
0,0,0,14,2.39,1.040,0.0015,-452.50,6.30,-0.0192,0.0000289,3523.43,-3.72,-0.0238,0.0000467,62025.35,-209.10,0.221,-0.0000517
0,0,0,15,1.95,1.081,0.0017,-698.47,8.60,-0.0262,0.0000374,6993.10,-20.91,0.0032,0.0000352,32147.69,-131.55,0.158,-0.0000345
0,0,0,16,1.47,1.070,0.0018,-662.36,8.36,-0.0258,0.0000373,6719.27,-20.56,0.0044,0.0000338,39425.73,-152.49,0.177,-0.0000403
0,0,0,17,1.63,1.049,0.0011,-347.64,5.14,-0.0151,0.0000230,-4862.41,36.30,-0.0854,0.0000751,54021.27,-186.13,0.196,-0.0000437
0,0,0,18,0.62,1.029,0.0009,-286.58,4.37,-0.0123,0.0000180,-12017.70,69.80,-0.1354,0.0000963,56897.59,-191.21,0.194,-0.0000418
0,0,0,19,1.56,1.051,0.0012,-350.65,5.19,-0.0154,0.0000233,-4175.34,33.83,-0.0829,0.0000747,52645.17,-182.76,0.193,-0.0000431
0,0,0,20,0.85,1.047,0.0010,-320.42,4.79,-0.0138,0.0000204,-8547.23,54.07,-0.1127,0.0000871,59217.90,-198.30,0.203,-0.0000451
0,0,0,21,1.49,1.043,0.0013,-417.54,5.92,-0.0180,0.0000267,875.37,10.05,-0.0467,0.0000575,53181.51,-186.37,0.199,-0.0000455
0,0,0,22,1.65,1.078,0.0016,-736.20,8.95,-0.0273,0.0000380,6386.52,-17.75,-0.0019,0.0000373,46901.06,-171.25,0.192,-0.0000442
0,0,0,23,1.16,1.033,0.0009,-293.74,4.46,-0.0126,0.0000185,-8089.08,50.72,-0.1047,0.0000802,57046.56,-190.81,0.193,-0.0000419
0,0,0,24,1.10,1.071,0.0012,-411.96,5.85,-0.0175,0.0000259,-5377.90,39.10,-0.0907,0.0000790,100.40,-43.28,0.071,-0.0000077
0,0,0,25,3.27,1.039,0.0015,-474.83,6.59,-0.0204,0.0000306,5748.62,-15.36,-0.0034,0.0000350,47041.81,-170.17,0.188,-0.0000429
0,0,0,26,1.36,1.037,0.0012,-366.95,5.33,-0.0158,0.0000235,-608.78,16.64,-0.0554,0.0000598,57670.10,-196.00,0.204,-0.0000462
0,0,0,27,1.84,1.014,0.0014,-387.79,5.56,-0.0166,0.0000251,170.48,11.94,-0.0468,0.0000556,49066.01,-173.42,0.186,-0.0000414
0,0,0,28,1.79,1.032,0.0015,-449.50,6.27,-0.0192,0.0000289,4208.71,-8.04,-0.0150,0.0000407,48740.91,-174.04,0.190,-0.0000430
0,0,0,29,1.06,1.060,0.0009,-289.22,4.48,-0.0127,0.0000191,-9731.60,59.05,-0.1190,0.0000889,53872.39,-183.82,0.189,-0.0000412
0,0,0,30,2.16,1.032,0.0014,-361.64,5.33,-0.0160,0.0000249,3108.52,-1.74,-0.0263,0.0000463,51823.97,-180.21,0.192,-0.0000430
0,0,0,31,0.97,1.044,0.0011,-349.40,5.18,-0.0154,0.0000231,-1080.57,17.87,-0.0555,0.0000585,47861.84,-169.79,0.180,-0.0000392
0,0,1,0,1.48,1.001,0.0011,-294.74,4.53,-0.0131,0.0000199,-4571.99,34.48,-0.0808,0.0000697,49390.11,-170.77,0.177,-0.0000373
0,0,1,1,1.05,0.969,0.0012,-317.54,4.74,-0.0138,0.0000207,-4069.62,32.30,-0.0779,0.0000688,53640.28,-180.63,0.185,-0.0000395
0,0,1,2,1.22,1.025,0.0012,-329.54,4.97,-0.0148,0.0000226,395.80,11.57,-0.0469,0.0000550,38876.65,-144.53,0.158,-0.0000327
0,0,1,3,2.35,1.036,0.0012,-289.53,4.59,-0.0136,0.0000214,-71.09,13.56,-0.0496,0.0000561,42786.77,-155.00,0.167,-0.0000351
0,0,1,4,2.11,1.033,0.0012,-354.08,5.27,-0.0159,0.0000242,-2808.52,26.51,-0.0699,0.0000671,37755.26,-140.89,0.155,-0.0000320
0,0,1,5,0.91,0.964,0.0008,-169.03,3.01,-0.0075,0.0000117,-12328.15,69.24,-0.1291,0.0000871,63859.07,-199.63,0.189,-0.0000388
0,0,1,6,1.09,0.998,0.0009,-216.82,3.65,-0.0100,0.0000155,-9739.28,58.69,-0.1169,0.0000855,50181.11,-170.73,0.173,-0.0000357
0,0,1,7,2.15,1.025,0.0013,-348.26,5.22,-0.0157,0.0000243,3398.25,-2.91,-0.0244,0.0000444,42026.23,-153.17,0.167,-0.0000354
0,0,1,8,1.85,1.042,0.0012,-349.16,5.23,-0.0157,0.0000239,-3922.29,31.88,-0.0787,0.0000720,5768.09,-56.13,0.080,-0.0000100
0,0,1,9,1.50,1.039,0.0014,-389.87,5.72,-0.0177,0.0000273,5057.17,-11.49,-0.0104,0.0000383,54700.00,-188.22,0.200,-0.0000457
0,0,1,10,0.64,1.014,0.0009,-214.84,3.65,-0.0100,0.0000158,-11729.31,68.47,-0.1331,0.0000947,43179.39,-153.26,0.159,-0.0000319
0,0,1,11,1.55,1.019,0.0011,-294.64,4.57,-0.0133,0.0000204,-7478.42,50.06,-0.1085,0.0000865,41840.84,-153.83,0.166,-0.0000349
0,0,1,12,1.81,1.001,0.0014,-304.67,4.79,-0.0145,0.0000234,4019.64,-5.97,-0.0196,0.0000423,41240.41,-150.24,0.164,-0.0000348
0,0,1,13,1.73,1.008,0.0010,-274.57,4.25,-0.0119,0.0000180,-11765.84,68.79,-0.1341,0.0000961,50329.59,-170.92,0.174,-0.0000362
0,0,1,14,1.67,1.032,0.0012,-320.92,4.92,-0.0147,0.0000228,2047.27,3.88,-0.0356,0.0000501,53212.23,-181.68,0.190,-0.0000417
0,0,1,15,1.28,0.976,0.0010,-229.48,3.75,-0.0102,0.0000155,-12153.29,69.99,-0.1342,0.0000938,51716.17,-171.83,0.171,-0.0000347
0,0,1,16,1.25,1.057,0.0013,-332.67,5.09,-0.0153,0.0000240,-2114.24,24.11,-0.0684,0.0000684,40459.91,-150.59,0.166,-0.0000355
0,0,1,17,1.51,1.014,0.0013,-372.28,5.45,-0.0166,0.0000252,-341.21,15.08,-0.0534,0.0000604,50223.22,-176.74,0.189,-0.0000420
0,0,1,18,2.19,1.030,0.0014,-456.31,6.39,-0.0198,0.0000294,17012.88,-67.07,0.0737,-0.0000030,41585.11,-155.86,0.173,-0.0000378
